id,vc,value,shares,buyout
1,no,1200000,3000000,no
2,no,1454000,1454000,yes
3,no,1500000,300000,no
4,no,1530000,510000,no
5,no,2000000,800000,no
6,no,2100000,700000,no
7,no,2100000,400000,no
8,yes,2500000,500000,no
9,no,2500000,500000,no
10,no,2750000,550000,no
11,no,2750000,550000,no
12,no,2800000,800000,no
13,no,3000000,1000000,no
14,no,3150000,450000,no
15,no,3200000,640000,no
16,no,3341250,1215000,no
17,no,3500000,700000,no
18,no,3575000,1100000,no
19,no,3600000,600000,no
20,no,3600000,600000,no
21,no,3900000,1200000,no
22,no,4000000,800000,yes
23,no,4025000,575000,no
24,no,4050000,1350000,no
25,no,4100000,820000,no
26,no,4200000,700000,yes
27,no,4200000,700000,no
28,no,4200000,700000,no
29,no,4250000,850000,no
30,no,4250000,1000000,no
31,no,4250000,850000,no
32,no,4375000,625000,no
33,no,4400000,1100000,no
34,no,4400000,1100000,no
35,yes,4500000,1000000,no
36,no,4550000,1300000,no
37,no,4567500,870000,no
38,no,4725000,900000,no
39,no,4875000,975000,no
40,no,4925000,985000,no
41,no,4950000,1100000,no
42,no,4950000,1100000,no
43,no,5000000,1000000,no
44,no,5000000,1000000,no
45,no,5000000,1000000,no
46,no,5000000,1000000,no
47,no,5000000,1000000,no
48,yes,5000000,1000000,no
49,no,5125000,1000000,no
50,no,5152500,687000,no
51,no,5208331,833333,no
52,no,5250000,1050000,no
53,no,5250000,1750000,no
54,yes,5250000,1500000,no
55,yes,5400000,1800000,no
56,no,5460000,910000,no
57,yes,5500000,1000000,no
58,no,5500000,550000,no
59,no,5500000,1000000,no
60,no,5600000,800000,no
61,no,5675000,1135000,yes
62,no,5700000,950000,no
63,yes,5750000,1150000,no
64,no,5850000,900000,no
65,no,6000000,2000000,no
66,no,6000000,1000000,no
67,no,6000000,1000000,no
68,no,6000000,1200000,no
69,no,6000000,1200000,no
70,yes,6000000,1000000,no
71,no,6000000,1000000,no
72,no,6000000,1000000,no
73,yes,6000000,1500000,no
74,no,6090560,1120000,no
75,no,6250000,1250000,no
76,yes,6300000,700000,no
77,no,6500000,1300000,no
78,no,6500000,1300000,no
79,no,6500000,1300000,no
80,yes,6500000,1000000,no
81,yes,6600000,1200000,no
82,no,6600000,1100000,no
83,no,6600000,1100000,no
84,no,6640000,830000,no
85,yes,6750000,1000000,no
86,no,6800000,850000,no
87,no,6900000,690000,no
88,no,7000000,1000000,no
89,no,7150000,1100000,yes
90,yes,7200000,1200000,no
91,no,7200000,1200000,yes
92,no,7200000,800000,no
93,no,7200000,1200000,no
94,no,7500000,1500000,yes
95,yes,7500000,3000000,no
96,yes,7500000,1500000,no
97,no,7500000,1200000,no
98,no,7500000,1500000,no
99,no,7500000,1200000,no
100,no,7740000,1290000,no
101,no,7800000,1300000,no
102,no,8000000,1600000,no
103,no,8000000,800000,no
104,no,8100000,1200000,no
105,no,8250000,1000000,no
106,no,8400000,1200000,no
107,yes,8400000,1200000,no
108,yes,8500000,1000000,no
109,yes,8550000,900000,no
110,yes,8610000,1230000,no
111,no,8800000,1100000,no
112,no,9000000,1125000,yes
113,no,9062500,1250000,no
114,yes,9375000,1500000,yes
115,yes,9625000,1375000,no
116,yes,10000000,2000000,no
117,yes,10000000,2000000,no
118,no,10000000,1000000,no
119,no,10103125,1325000,no
120,no,10200000,1700000,no
121,no,10200000,1700000,no
122,yes,10400000,1600000,no
123,no,10450000,1100000,no
124,no,10500000,1500000,no
125,yes,10725000,1300000,no
126,yes,10725000,1300000,no
127,no,10800000,1200000,no
128,no,11000000,1000000,no
129,no,11000000,1100000,no
130,yes,11000003,1571429,no
131,no,11025000,1225000,no
132,no,11550000,1100000,no
133,no,11700000,1300000,no
134,no,11700000,1300000,no
135,no,11880000,1320000,no
136,no,11900000,1400000,no
137,yes,11925000,1325000,no
138,no,12000000,1500000,no
139,no,12000000,1500000,no
140,no,12000000,1500000,no
141,yes,12000000,1000000,no
142,yes,12000000,2000000,no
143,no,12000000,1200000,no
144,no,12075000,1050000,no
145,no,12100000,1100000,no
146,yes,12100000,1100000,no
147,yes,12250000,1750000,no
148,yes,12500000,2500000,no
149,no,12500000,2000000,no
150,no,12500000,1250000,no
151,yes,12600000,1800000,no
152,no,12750000,1700000,no
153,yes,12800000,1600000,no
154,no,12800000,1600000,no
155,yes,13000000,2000000,no
156,yes,13000000,2000000,no
157,no,13000000,1625000,no
158,no,13000000,1300000,no
159,no,13125000,1050000,yes
160,yes,13125000,1500000,no
161,yes,13168000,1646000,no
162,yes,13200000,1200000,no
163,yes,13330000,1333000,no
164,yes,13500000,1500000,no
165,no,13500000,1500000,yes
166,no,13500000,1500000,no
167,no,13500000,1200000,no
168,yes,13500000,1500000,no
169,no,13500000,1350000,no
170,no,13965000,1330000,no
171,no,14000000,2000000,no
172,yes,14000000,1750000,no
173,no,14100000,2350000,no
174,yes,14150000,1415000,yes
175,no,14400000,1600000,no
176,yes,14400000,1800000,yes
177,yes,14400000,900000,no
178,yes,14450000,1700000,no
179,yes,14500000,2000000,no
180,yes,14700000,2100000,no
181,yes,15000000,1500000,no
182,yes,15000000,1250000,no
183,no,15000000,1500000,no
184,no,15000000,1000000,no
185,no,15000000,1875000,no
186,yes,15000000,1500000,no
187,yes,15000000,1500000,no
188,no,15000000,2000000,no
189,yes,15000000,1250000,no
190,yes,15187500,1350000,no
191,no,15187500,1350000,no
192,no,15400000,1100000,no
193,no,15400000,2200000,no
194,yes,15600000,1200000,no
195,yes,15750000,1750000,no
196,yes,16000000,2000000,no
197,yes,16000000,2000000,no
198,yes,16000000,1600000,no
199,no,16000000,2000000,no
200,yes,16055000,1690000,no
201,no,16095000,1073000,no
202,yes,16100000,2300000,no
203,no,16100000,1400000,no
204,yes,16200000,1800000,no
205,yes,16250000,2500000,no
206,yes,16312500,1450000,no
207,yes,16500000,3300000,no
208,no,16575000,1950000,no
209,yes,16625000,1750000,no
210,no,16800000,1200000,no
211,yes,16900000,1300000,no
212,no,17000000,2000000,no
213,no,17062500,1750000,no
214,yes,17100000,1800000,no
215,yes,17500000,1750000,no
216,yes,17500000,2500000,no
217,yes,17500000,2500000,no
218,no,17500000,2500000,no
219,no,17500000,2500000,no
220,no,17500000,1400000,no
221,no,18000000,2000000,no
222,yes,18000000,1500000,no
223,yes,18000000,1800000,no
224,yes,18000000,1800000,no
225,no,18000000,2000000,no
226,yes,18000000,2250000,no
227,no,18000000,3600000,no
228,yes,18050000,1900000,no
229,yes,18700000,1700000,no
230,no,18750000,1500000,no
231,no,18900000,1800000,no
232,no,18900000,2100000,no
233,no,18900000,1400000,no
234,no,19000000,2000000,no
235,yes,19200000,1600000,no
236,yes,19200000,2400000,no
237,no,19200000,1600000,no
238,yes,19250000,1750000,no
239,yes,19350000,1800000,no
240,yes,19500000,1300000,no
241,yes,19500000,1500000,no
242,yes,19500000,1500000,no
243,yes,19550000,1700000,no
244,no,19575000,1350000,no
245,yes,19800000,1800000,no
246,yes,20000000,2000000,yes
247,yes,20000000,2500000,no
248,no,20000000,2000000,no
249,no,20000000,2000000,yes
250,no,20125000,1750000,no
251,yes,20312500,1625000,no
252,yes,20400000,1700000,no
253,yes,20700000,1800000,no
254,yes,21000000,3000000,no
255,no,21000000,1750000,no
256,yes,21000000,2100000,no
257,yes,21000000,2100000,yes
258,no,21156000,1763000,no
259,yes,21250000,2500000,no
260,yes,21292500,1670000,no
261,no,21600000,2700000,no
262,no,21750000,2175000,no
263,yes,22000000,2000000,no
264,yes,22000000,2000000,no
265,no,22050000,2100000,no
266,yes,22100000,1700000,no
267,no,22380000,1865000,no
268,yes,22400000,1600000,no
269,no,22400000,1600000,no
270,yes,22500000,1875000,no
271,yes,22800000,1900000,no
272,yes,22800000,1900000,no
273,no,22883080,2080280,yes
274,no,22950000,1700000,no
275,no,23000000,2000000,no
276,yes,23000000,2000000,no
277,no,23100000,2100000,no
278,yes,23125000,2500000,no
279,no,23200000,2900000,no
280,no,23400000,2600000,no
281,no,23625000,1750000,no
282,yes,24000000,2000000,no
283,no,24000000,2000000,no
284,no,24000000,2000000,no
285,yes,24000000,3000000,no
286,yes,24050000,1850000,no
287,no,24300000,2700000,no
288,yes,25000000,2500000,no
289,yes,25000000,2500000,no
290,yes,25200000,2100000,no
291,no,25200000,1800000,no
292,no,25300000,2300000,yes
293,yes,25500000,1700000,yes
294,no,25500000,3000000,no
295,yes,25550000,2800000,no
296,yes,26000000,3250000,no
297,yes,26000000,2000000,no
298,yes,26000000,2000000,no
299,yes,26250000,1875000,no
300,yes,26250000,2500000,no
301,yes,26302500,2505000,no
302,no,26400000,2400000,no
303,yes,26450000,2300000,no
304,no,26650000,2050000,no
305,no,26775000,4200000,no
306,yes,27000000,3000000,no
307,no,27000000,2000000,no
308,yes,27000000,1800000,no
309,no,27200000,3200000,no
310,no,27300000,2100000,no
311,no,27300000,2100000,no
312,no,27500000,2500000,no
313,yes,27600000,2300000,no
314,no,27700000,2770000,no
315,no,27775000,2525000,yes
316,no,27840000,2320000,no
317,yes,27900000,1550000,no
318,yes,27975000,1865000,no
319,yes,28000000,2000000,no
320,yes,28035000,2670000,no
321,yes,28050000,3300000,no
322,yes,28500000,2850000,no
323,no,28600000,2200000,no
324,no,28750000,2875000,no
325,no,28800000,1800000,no
326,no,29037500,2525000,yes
327,no,29050000,2075000,no
328,yes,29250000,2250000,no
329,no,29700000,3300000,no
330,yes,29700000,2700000,no
331,yes,29750000,3500000,no
332,yes,29750000,3500000,no
333,yes,30000000,2500000,no
334,yes,30000000,2000000,yes
335,yes,30000000,3000000,no
336,yes,30000000,2500000,no
337,yes,30000000,1200000,no
338,yes,30000000,2000000,no
339,yes,30000000,2500000,no
340,yes,30000000,3000000,no
341,yes,30000000,3000000,no
342,no,30000000,3000000,no
343,yes,30250000,2750000,no
344,no,30367596,2169114,yes
345,yes,30450000,2100000,no
346,no,30800000,2800000,no
347,yes,30800000,2800000,no
348,yes,30800000,2200000,no
349,yes,30816000,2568000,no
350,no,31000000,3100000,no
351,yes,31200000,2600000,no
352,yes,31200000,1950000,yes
353,yes,31200000,2600000,yes
354,yes,31200000,2600000,no
355,yes,31250000,2500000,no
356,no,31800000,2650000,no
357,yes,31830000,2122000,yes
358,yes,32000000,2000000,no
359,no,32200000,2300000,no
360,no,32500000,5000000,no
361,yes,32500000,2500000,no
362,no,32500000,2500000,no
363,yes,32500000,2500000,no
364,no,32550000,2100000,yes
365,yes,33000000,3000000,no
366,yes,33350000,2300000,no
367,yes,33400000,3340000,no
368,no,33500000,3350000,yes
369,yes,33600000,2100000,no
370,no,33600000,2800000,no
371,yes,33800000,2600000,no
372,no,34500000,3000000,no
373,no,35000000,5000000,no
374,no,35000000,2500000,no
375,no,35100000,2700000,no
376,no,35100000,2700000,no
377,yes,35100000,2700000,no
378,no,35200000,2200000,no
379,yes,35200000,2200000,no
380,no,35680000,1784000,yes
381,yes,35829024,3257184,no
382,yes,36000000,2000000,no
383,yes,36000000,2400000,no
384,yes,36000000,3000000,no
385,no,36800000,2300000,no
386,yes,37300000,1865000,no
387,yes,37400000,2200000,no
388,yes,37500000,2500000,no
389,yes,37500000,2500000,no
390,yes,37500000,2500000,no
391,yes,37600000,2350000,no
392,no,37800000,3150000,yes
393,no,38250000,2550000,no
394,yes,38400000,2400000,no
395,yes,39000000,3000000,no
396,yes,39000000,2000000,no
397,no,39000000,3000000,no
398,no,39875000,2750000,no
399,no,39900000,2850000,no
400,yes,40000000,4000000,no
401,yes,40500000,2700000,yes
402,no,40500000,2700000,yes
403,no,40500000,2250000,no
404,no,40833310,2333332,no
405,yes,41223725,3297898,yes
406,no,41250000,3750000,no
407,no,41250534,2426502,no
408,yes,42000000,3500000,no
409,no,42000000,2800000,no
410,no,42000000,3000000,no
411,yes,42000000,3000000,no
412,yes,42000000,4000000,no
413,no,42000000,3000000,no
414,no,42205000,3670000,no
415,yes,43500000,3000000,no
416,no,44395000,3415000,yes
417,no,44500000,4450000,no
418,yes,45000000,3000000,no
419,yes,45500000,3500000,no
420,no,45750000,3000000,no
421,no,47125000,3250000,no
422,no,48000000,3000000,yes
423,yes,48000000,4000000,no
424,no,48750000,3250000,no
425,yes,48875000,5750000,no
426,yes,49000000,3500000,yes
427,yes,49639500,3677000,no
428,no,50000000,5000000,no
429,no,51300000,2850000,no
430,yes,52000000,4000000,no
431,no,52200000,3600000,no
432,yes,52500000,3750000,no
433,yes,52500000,3750000,no
434,yes,52500000,3500000,no
435,yes,52500000,3500000,no
436,no,54000000,9000000,no
437,yes,54000000,3000000,yes
438,yes,54000000,3000000,no
439,yes,54250000,3500000,yes
440,no,55000000,2500000,no
441,no,55400000,5540000,no
442,yes,55500000,3000000,no
443,yes,55500000,3700000,yes
444,no,57100000,2855000,no
445,yes,57600000,2880000,no
446,yes,58100000,4150000,no
447,yes,59400000,3300000,no
448,no,59400000,3600000,yes
449,yes,61200000,3600000,no
450,yes,63000000,4500000,yes
451,no,66000000,4400000,yes
452,no,66000000,4000000,no
453,no,67200000,4800000,no
454,no,69750000,4500000,no
455,yes,72187500,4125000,yes
456,no,72500000,5000000,no
457,yes,75000000,5000000,no
458,yes,75000000,5000000,no
459,no,79000000,4000000,no
460,no,80345500,4343000,no
461,yes,80848420,4042421,yes
462,no,82500000,5500000,no
463,no,83600000,4400000,no
464,no,86593750,4075000,no
465,no,90200000,8200000,no
466,no,92429000,5437000,no
467,no,95000000,5000000,no
468,no,104400000,5800000,no
469,no,104400000,5800000,no
470,no,108199996,5620779,no
471,no,111000000,5550000,no
472,no,114000000,6000000,no
473,no,117000000,6000000,no
474,no,119625000,5500000,no
475,yes,120000000,7500000,no
476,no,121900000,5300000,no
477,no,128000000,6400000,no
478,no,129800000,5900000,no
479,no,143242125,11018625,yes
480,no,159500000,7250000,no
481,no,165000000,11000000,no
482,no,234600000,9200000,no
